/* TID|System Type|Slot|Port|Name|ing_packets|ing_bytes|ing_rate(Kbps)|egr_packets|egr_bytes|egr_rate(Kbps)|Date */
SKB_BunDang_TTA|APN20A|SXC|P13|(TN_1_SKB_BunDang_Hypernet_SKB_BunDang_TTA_18_3)-(T1-L1)|281737|29756566|264|4900|585726|0|2019-09-27 11:15:00
SKB_BunDang_TTA|APN20A|SXC|P14|(TN_1_SKB_BunDang_Hypernet_SKB_BunDang_TTA_18_3_P)-(T1-L2)|270459|28394794|252|0|0|0|2019-09-27 11:15:00
SKB_BunDang_TTA|APN20A|SXC|P14|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_18)-(T2-L1)|295221|30998205|275|0|0|0|2019-09-27 11:15:00
SKB_BunDang_TTA|APN20A|SXC|P13|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_18_P)-(T2-L2)|295305|30999645|275|0|0|0|2019-09-27 11:15:00
SKB_BunDang_TTA|APN20A|SXC|P14|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_20)-(T3-L1)|295203|30996315|275|0|0|0|2019-09-27 11:15:00
SKB_BunDang_TTA|APN20A|SXC|P13|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_20_P)-(T3-L2)|295406|31010250|275|0|0|0|2019-09-27 11:15:00
SKB_BunDang_TTA|APN20A|SXC|P14|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_24_lan)-(T5-L1)|295206|30996630|275|0|0|0|2019-09-27 11:15:00
SKB_BunDang_TTA|APN20A|SXC|P13|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_24_lan_P)-(T5-L2)|295356|31005000|275|0|0|0|2019-09-27 11:15:00
SKB_BunDang_TTA|APN20A|SXC|P13|(TN_1_SKB_BunDang_Hypernet_SKB_BunDang_TTA_42_lan)-(T3-L1)|270280|28379400|252|0|0|0|2019-09-27 11:15:00
SKB_BunDang_TTA|APN20A|SXC|P14|(TN_1_SKB_BunDang_Hypernet_SKB_BunDang_TTA_42_lan_P)-(T3-L2)|270459|28394794|252|0|0|0|2019-09-27 11:15:00
SKB_BunDang_TTA|APN20A|SXC|P14|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_46)-(T18-L1)|295230|30999255|275|0|0|0|2019-09-27 11:15:00
SKB_BunDang_TTA|APN20A|SXC|P13|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_46_P)-(T18-L2)|295432|31012980|275|0|0|0|2019-09-27 11:15:00
SKB_BunDang_TTA|APN20A|SXC|P14|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_48)-(T19-L1)|295208|30996840|275|0|0|0|2019-09-27 11:15:00
SKB_BunDang_TTA|APN20A|SXC|P13|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_48_P)-(T19-L2)|295358|31005210|275|0|0|0|2019-09-27 11:15:00
SKB_BunDang_TTA|APN20A|SXC|P14|(TN_SMSEO_TEST)-(T25-L1)|295236|30999780|275|0|0|0|2019-09-27 11:15:00
